symbol,PER,ROE,SMA20_diff,RSI
MSFT,34.84365,0.3361,0.01806949647310862,47.88913207654473
NVDA,44.65646,1.1917701,0.00049605686742531,41.81249835342189
AAPL,30.415888,1.38015,-0.052852007103205846,40.05812023723304
AMZN,32.78793,0.2524,-0.029655707154109104,39.99999999999999
GOOGL,18.802456,0.34789002,-0.00566331013539106,41.32368099034908
META,24.513683,0.39835,-0.05251872272971863,36.70716923738827
TSLA,192.80682,0.087740004,-0.012208907005859334,43.33333125306288
BRK-B,13.422021,0.13187,0.0038344331655796385,49.27837128794576
AVGO,106.38139,0.14845,0.03463650216985348,45.97422936718322
TSM,23.102285,0.31641,-0.050705766817724096,35.13947138901868
WMT,41.17094,0.21783,0.07040407035945165,59.170994721798074
JPM,12.78617,0.17352,0.0025941720847352297,44.37399327471816
V,35.60322,0.50655,-0.007209248285035927,44.98801412609355
LLY,58.11971,0.77278,-0.08370119766615673,23.492482172722802
SPY,25.232693,,-0.02864540546726165,39.06981745634186
MA,39.52174,1.8770399,-0.03331947073046992,40.27390210388937
NFLX,55.861927,0.40842,-0.017535961489597934,41.33647148164071
COST,58.838974,0.32894,0.03389917471353273,60.4954257565095
XOM,13.664456,0.14302,-0.08176347787901168,32.752040201055635
ORCL,36.612675,1.03741,-0.06959721373987904,32.9176975681997
PG,26.326982,0.30294,0.0024233044211434004,51.64319530845153
HD,24.623898,2.9951901,-0.006554042412729024,43.926958401672685
JNJ,17.012236,0.29447,-0.04244714936507978,36.35505009898765
SAP,53.515423,0.12905,-0.02121304885480559,39.391233313206854
BAC,12.895523,0.094560005,-0.10065416568357181,27.805496159024315
ABBV,77.98298,0.884,-0.12106943099612927,21.848199646465318
KO,28.823292,0.38776,0.01831194456055599,58.73241275485286
BABA,16.22715,0.114379995,-0.1503004828534901,24.470322029235774
PLTR,536.13043,0.12357,0.020390569299718133,42.014024181652765
NVO,18.91854,0.88115,-0.07233204256711658,33.50129844962278
ASML,29.241117,0.55618,-0.017666465878212814,40.62033162646864
UNH,12.377304,0.22700001,0.1310999668413558,82.71427031231349
RCIT,,,-0.0486806650883341,34.33047316515706
CRM,42.94497,0.10258,-0.04918396907471956,33.29715319018983
TMUS,23.69561,0.19351,-0.00222178164139476,49.74988984308496
PM,28.105679,,0.0009133365768398742,53.28466402843736
CSCO,25.759184,0.21356001,-0.02897179331048235,41.08732936268011
GE,36.77567,0.27197,-0.06778770142873203,32.46131610875831
IBM,44.21026,0.21851,-0.028026586283630334,40.715811695629945
WFC,13.098922,0.11021,-0.09597087389775445,27.999986808312883
TM,7.2890844,0.13283,-0.05294551120517246,32.89296394216559
CVX,15.60457,0.10079,-0.1361586379082526,25.3563625956225
ABT,17.074123,0.30649,-0.007058902114072882,49.40540967541285
MCD,27.78887,,0.007935974823643143,53.634628193227286
NVS,17.672413,0.32887,-0.01650593304073549,43.0679597037483
AZN,28.27711,0.19793,-0.07803143487109993,30.40200802735542
LIN,33.32607,0.17013,-0.02521518623116224,43.7581337528893
HSBC,10.869725,0.10962,-0.09305753468732846,28.721718506581254
NOW,137.02184,0.16858,-0.025811967972411212,41.38747205701558
AXP,19.917599,0.34273,-0.03773827893364695,39.221924162583385
MS,14.779602,0.13884,-0.05555551188944544,35.52607509728372
QQQ,31.934755,,-0.023973119676545217,39.62101443907593
DIS,22.391836,0.08894,-0.1024624437384484,30.522288041286203
T,16.822086,0.10885,-0.008201055205635174,51.01474512487171
ACN,25.500822,0.26965,-0.061188626860452615,38.1588874179727
ISRG,78.76496,0.15958,0.001373462214732276,46.75392711704575
SHEL,15.136987,0.07565,-0.09928987195659018,33.1128288331692
MRK,11.276163,0.39293,-0.09332417631271153,25.78385602596751
UBER,15.367776,0.69382006,0.0019198199035005033,42.714425341897105
INTU,58.834152,0.17839001,-0.015104065636688735,43.91297648891072
FMX,30.454285,0.1104,0.004490291276076166,53.31391810266722
VZ,10.314286,0.18416001,0.009262844809874757,54.71434986820917
HDB,22.833334,0.14573,0.036875404843140454,56.36916913608123
GS,13.890461,0.12222,-0.07572669886642451,33.26169073199728
RTX,38.812317,0.07802,-0.015055282052989083,41.02706287805065
AMD,80.51825,0.03904,-0.06854286230074269,35.28141889383775
PEP,19.020588,0.49927,-0.019141151776851995,46.297643891642394
RY,14.495485,0.14245,0.000574147234798847,45.18949334888869
ADBE,26.945803,0.47284,-0.06629721644938012,32.4444155307408
BX,41.37386,0.26345,-0.09104555371267664,34.15627470962961
BKNG,33.222027,,0.004774162873386172,45.92750495878014
TXN,33.45351,0.29189,-0.14113634434016722,30.71523562863686
QCOM,14.834694,0.42205003,-0.06412349719877251,36.45467152418446
PGR,18.685984,0.34338,0.0030142352488720546,51.15685689623502
PDD,11.302369,0.44924,-0.2145119951445226,14.985113307583887
CAT,16.750732,0.55646,-0.08452498497800327,30.363271136037426
SCHW,26.48485,0.14118,0.003533759202738115,44.270430734363906
SPGI,40.001568,0.11241,-0.04698581856842205,38.45100416651073
MUFG,12.198198,0.09658,-0.11953506480651141,25.873009601686462
BSX,76.277374,0.09498999,-0.046581830860159844,35.75047581037549
BA,,,-0.0458838629347351,35.04475582523793
SONY,19.48855,0.14214,-0.04984775714313167,33.796933332166105
TMO,23.088564,0.13704,-0.09747999938647268,27.764772755003918
UL,24.53077,0.29405,0.04402229686376669,64.31284057831311
BLK,23.417942,0.13932,-0.046366410023566895,37.64727052282838
NEE,25.378277,0.07056,-0.04955846083428428,38.8946765681727
TJX,29.57647,0.60356,0.060914558540124585,66.29812972951521
SYK,51.03252,0.14259,-0.039337527456892556,39.06062120415575
AMGN,24.74135,1.0567299,-0.05914634592564155,32.06618755499461
HON,25.52069,0.32676998,-0.03420534036375126,40.76900887014965
DE,22.569027,0.23912,-0.007451552469741286,44.267433393946135
C,11.546603,0.06435,-0.09272888844365897,28.8540221054556
